id	video_id	sentence
28	vid1071	一个女人拿起了一只大龙虾。
30	vid4	一个男人用剑插入了一张人像硬纸板中
57	vid1328	一个人在捏面团。
61	vid1617	一个人在炒菜。
68	vid476	猫使用马桶上厕所。
82	vid939	一个人在扫地。
129	vid740	小狗爬楼梯。
138	vid1275	女孩吹笛子
139	vid1645	一个男人在解剖一条小鱼。
148	vid1609	一个男人手里拿着橄榄球，向着另一个男人单膝跪地。
160	vid558	一只白猫打滚
165	vid1089	一个人从楼梯上跑下来
190	vid1583	一个男性在剥香蕉
198	vid1684	猫在喝水龙头里流出的水。
203	vid893	一个男人在接受采访。
216	vid510	猴子在水里嬉戏。
234	vid115	火箭在下落过程中爆炸。
292	vid143	两个女人在跳舞
293	vid45	一个妇女在煮面条，狗也想吃。
295	vid1333	一个男人在踢乒乓球
299	vid393	一个男人在弹吉他
315	vid684	几个人在丛林里追逐。
338	vid892	一个男人在扔飞镖。
341	vid1158	一只小松鼠在对着镜头看。
347	vid391	那男孩在演奏大提琴。
390	vid1310	一个人在涂眼影。
392	vid347	一个女生在用自动步枪练习射击。
407	vid847	篮球运动员在投篮
434	vid781	一个跆拳道高手一跃踢碎三块木板
443	vid387	一个人在磨指甲
464	vid1784	两个男人在练习散打
478	vid600	一个男人在唱歌
479	vid1314	一个小女孩从平衡木上摔了下去
500	vid174	一个人在蹦床上做空翻
501	vid239	小猫喝牛奶
527	vid519	女人在打电话
548	vid1167	两个人站在野外，而其中一人放飞了一架玩具飞机。
558	vid1066	一只小白兔在吃东西。
585	vid1342	用勺子在面包片上涂黄油
623	vid1332	一群小孩在庭院中玩对战
628	vid446	一个小猫在闻一只地上的小虫
640	vid1231	一个老太太在街边遛狗
701	vid757	有一个人试图在绳子上保持平衡。
776	vid1617	一个人在用平底锅炒洋葱和土豆。
829	vid1362	一个男人在用左轮手枪射击。
849	vid162	一只狗在水里游泳
856	vid538	一位服务员在给四个小孩上菜并和他们说着什么。
863	vid773	一个人在键盘上打字
897	vid1118	几个由狗拉着的雪橇在地上跑。
913	vid1708	一个男人挥锤子砸冰块。
961	vid592	一个男人下定决心后打开了门。
971	vid900	一些人在开演唱会。
996	vid1775	一个人在切胡萝卜。
998	vid1851	一个男人在骑马
1015	vid1412	一个男人用毛巾擦手
1019	vid1319	一个人从楼顶扔了块砖下来砸到了另一个人。
1039	vid1321	一个男人在抚摸两只狗
1045	vid1000	两只狮子在看电视
1057	vid222	一个婴儿在微笑
1069	vid370	一只小狗在玩耍
1094	vid1649	一只山羊在走路
1119	vid652	一个男人在骑自行车
1120	vid1158	一只松鼠转过头往镜头看
1125	vid1399	两只熊猫在玩耍
1128	vid332	一个女人在跳水
1163	vid1443	一个男人正在足球场上讲话
1173	vid763	一个人用手掰开苹果。
1184	vid415	一辆车在倒车
1185	vid944	女人想把车轮胎卸下来
1209	vid1385	三个人在跳操
1213	vid1945	一个男人跳进游泳池
1223	vid1628	一个女人在浴缸里洗澡
1224	vid564	一个男孩在看日历
1232	vid134	一个男人在骑一辆小摩托车
1248	vid789	一只黑色的鸟在吃树上的食物，另外两只鸟在树干上站着
1251	vid1798	一个白头发男人在舞台上亲吻一个女人
1264	vid1617	一个人在炒洋葱
1288	vid790	一个男人吊在铁链上
1294	vid976	一个男人从旗杆上滑到地面
1308	vid528	一个南瓜头在冒烟
1320	vid1557	女人给一个建筑物拍照
1333	vid847	运动员在表演花式投篮
1347	vid1368	一个埋在沙里只露出头的人在说话
1470	vid251	一个女孩正在路上跳绳
1530	vid727	一个人在边弹吉他边唱歌。
1532	vid1668	一个婴儿在推椅子。
1547	vid1014	一位男士在给一位女士做发型。
1595	vid793	汽车驶过一条街
1601	vid1962	一只小熊猫在爬树
1609	vid1387	一个猩猩在练跆拳道
1621	vid1653	饲养员喂两只大熊猫
1629	vid795	给面包切片
1694	vid1565	小女孩推着小车购物
1697	vid804	男人给车加油
1702	vid322	一个男孩在弹吉他。
1716	vid430	一只小黑狗和一只小白狗玩玩具。
1723	vid939	一个男人在扫地
1739	vid481	一个人在做摩托车特技
1750	vid359	一辆轿车把一辆摩托车撞飞了
1755	vid586	一个人在玩冲浪
1761	vid66	一只航模在天上飞
1773	vid1369	一个男人给猫刷毛
1778	vid708	一只猴子正在和一只狗玩
1784	vid1784	一个男人对着一个穿着保护手套的人练习空手道踢腿。
1785	vid1371	一个女孩跌进了一个奇异的空间中。
1799	vid1539	几个戴着圣诞帽的人在屋里围着话筒唱歌。
1812	vid1752	一个女人正在切土豆
1841	vid388	一位老人正在看报纸
1852	vid257	一个小女孩正在梳理她的头发
1882	vid1686	一个男人和一个女人在跳舞
1890	vid234	猫从睡梦中醒来
1891	vid1259	两名男子正走在夜总会
1941	vid974	一个戴墨镜长着络腮胡子的男人在弹吉他
1981	vid364	一个小宝宝在吃东西
1983	vid1283	一个女人走在很多人的街道上
2013	vid1406	一只狗狗钻进洗衣机
2052	vid233	一只猫在电视机前打拳击
2089	vid1545	一只黑马从地上站起来
2091	vid1516	一个小帅哥在弹吉他。
2100	vid784	两个女人在厨房里使用搅拌机
2140	vid393	一个男人在弹吉他。
2158	vid1514	一辆车在四个男人后面燃烧。
2159	vid1593	一只猫咪在蹭一个宝宝。
2172	vid526	一个小女孩在吹奏管风琴。
2173	vid1970	一个男孩在用器械锻炼
2175	vid161	一只熊在与一群狼周旋。
2206	vid1316	一个胖子在用小刀开包裹
2218	vid1411	富士山前一辆黄色火车驶过
2246	vid1914	一只驼鹿正在一个喷水器里玩耍
2263	vid1864	香菜的叶子被一个人切掉了
2269	vid1599	一个人在切一块肉
2283	vid264	一个女人在熨自己的长头发
2303	vid556	一个男孩在弹吉他给另一个男孩听
2348	vid584	一个玩偶在打电话。
2354	vid518	一只猫钻进了一个抽屉里。
2385	vid369	一个男孩骑着滑板车来了个空翻
2392	vid832	一个男人在演奏竖琴
2407	vid603	大象用鼻子画画
2423	vid1095	一个人站在船的甲板上
2486	vid103	一个男人在展示他的头发及洗剪吹工具
2531	vid1664	一个杯子在桌子上移动
2532	vid1436	一只乌龟在爬行
2549	vid889	一群人骑马前进
2564	vid1122	一个小女孩在玩玩具钢琴。
2568	vid587	一些人在进行短道速滑比赛
2574	vid202	男人仿佛在思考事情
2577	vid1886	一只船在海上行驶
2586	vid1781	一只长耳鼠在跳跃。
2614	vid1062	一个宝宝在吃面条。
2627	vid1802	一个厨师将煎好的洋葱累起来，
2669	vid384	一个人在剥蒜和切柠檬
2672	vid501	一个男人在马路上骑摩托车
2744	vid1211	男人在射击。
2746	vid1966	一人在骑马。
2754	vid1258	一小男孩在弹吉他。
2765	vid196	女孩边跑边放风筝。
2794	vid536	一个人给鸡蛋调味
2809	vid1409	一个女性在画眉毛
2813	vid867	两个女性在喂袋鼠
2828	vid816	一个男人在弹吉他
2859	vid597	一个男人用黑板擦擦黑板
2903	vid1241	一个人在给猴子挠痒
2939	vid1564	一只狗在舔宝宝
2940	vid834	这孩子网瘾不小得送去让杨叔治疗一下
2947	vid1527	一个男人在吹箫
2964	vid1138	一位女士在切土豆
2968	vid825	一个男人正在打球
2974	vid1413	小朋友玩的太开心了
2985	vid347	一个女人在射击但是他并没有射中
2989	vid1421	有个厨师在摊徐州菜煎饼
2992	vid203	一位女士在射击
3028	vid1430	将番茄切成片
3055	vid453	一个男人正在雨里在草坪上骑自行车
3081	vid834	有人在玩游戏
3084	vid1157	一个女孩粗心大意地跳入水中。
3085	vid739	一个人把装满煎饼面糊的勺子均匀地倒在平底锅的表面。
3091	vid1570	一只犀牛正在吃草
3101	vid370	一只小狗在玩网球
3160	vid9	小朋友在拍篮球
3170	vid1797	小朋友在使用吸尘器
3180	vid1719	那人在讲解树叶
3217	vid983	一只鹦鹉在叼着一只球上梯子
3220	vid801	一个人在切肉
3226	vid1542	一个小女孩在做早餐
3233	vid1751	一个人在剥土豆皮
3264	vid775	一个女孩在开裂的大地上飞快地奔跑
3288	vid624	一个女人在切豆腐
3307	vid1789	一个男人在吃一大块披萨
3333	vid1133	一个女人在切竹笋、莲藕等蔬菜
3338	vid1030	一个女人在做炒鸡蛋
3355	vid1900	一个男人正在跑步
3357	vid72	这个男人将水倒入番茄酱里面
3365	vid1510	一个胖子正在喝汤
3392	vid1681	一对恋人在回忆中
3393	vid1198	一个男人在洒一些海水在水上
3427	vid1272	一个男人切西红柿
3451	vid1376	一个女人正在切西红柿。
3480	vid20	一个女人在做点心
3490	vid641	一个男人骑着电动车带一个女人兜风
3502	vid301	一个男的在帮茄子脱衣服
3517	vid1960	两只大象在嬉戏
3522	vid86	一个女人在穿虾
3561	vid1505	一个女人在切肉
3600	vid540	一把刀一个苹果
3609	vid373	一个女人在切洋葱
3614	vid1892	一辆车碾过了一个人的两只手
3615	vid1446	一个大象在吃竹子
3648	vid79	一个人在给面包蘸酱
3650	vid52	一个人在削土豆皮
3675	vid916	有个人正在用铲子炒虾
3677	vid576	两个电视主持人在谈话
3682	vid1072	两只猴子在打闹
3715	vid1903	一个人正在健身
3725	vid83	一个人在煎鸡蛋
3745	vid1912	那人在给一块肉的表面涂上面粉
3750	vid667	把苹果切开装盘
3786	vid447	一个人在凉拌猪肉皮
